Ada / unbesiegte Ada	Ada
Adalgis	AdAlgis
Adela	adEla
Adwin	Addwin
Afrin	Afrin
Agilo	AgIlo
Agnessa	Agnessa
Aidan	Eidan
Aiko	Eiko
Albrecht	Albrecht
Aldo / Baldo	Alldo / Balldo
Aldrik	Alldrikk
Aleka	Alleka
Almar	Allmar
Amella	Amella
Andarta	AndArta
Andrick	Andrikk
Angus	Ängis
Asmus	Assmus
Augis	Augis
Babsi	Babbsi
Bady	Baddi
Baltus	Balltuss
Bandit	
Banner / Die Dunkle	Die Dunkle
Bardok	Barrdokk
Berni	Berni
Bernold	Bernold
Bertine	Bertine
Birka	Birrka
Blaan	Blaan
Blanda	Blanda
Bombus	Bommbus
Bonny	Bonni
Boris	Boris
Bruna	Bruna
Brutus	Bruutus
Carima	KarIma
Caspara	CaspAra
Cengiz	Kengis
Chunnaic	Kunnai
Colin	Kollin
Conor	Konor
Cord	Kord
Cuna	Kuna
Dalin	Daalin
Dark	Dark
Darwin	Darwin
Delani	DelAni
Der Ripper	Der Ripper
Diemo	DiEmo
Doro	Doro
Drax	Dräx
Dunja	Dunnja
Dylan	Dillen
Dylara	DilAra
Ebru	Ebruu
Ede	Ede
Elgar	Ellgar
Ella	Ella
Elnea	EllnEa
Emko	Emmko
Emre / Schlange	Emmre / Schlange
Enya	Ennja
Eoin	Eoin
Erwin	Erwin
Esdert	Essdert
Ester	Eester
Etzel	Etzl
Eugen	Eugen
Evi	Evi
Faol	Faol
Farina	FarIna
Farlan	Farlan
Farona	FaRona
Fawini	FawIni
Femke	Femmke
Fester	Fester
Fia	Fia
Finlay	Finnlay
Florin	Florin
Flunka	FlUnka
Friedel	Friidl
Frithjof	Frütjoff
Fulk	Falk
Fygen	Fügn
Gawan	GawAn
Geli	Geeli
Georg	Georg
Gera	Geera
Gerdwin	Gerdwinn
Gerion	Geerion
Eumel / Gero	Euml / Gero
Gesina	GesIna
Gilwar	Gilwar
Gra	Gra
Gradan	Gradan
Grit	Gridd
Guard	-----
Hadewin	Hadewin
Hailey	Hayli
Hajo	Hajo
Harald	Harald
Haron	Haaron
Harvey	Harvey
Hasso	Hasso
Hauer_01	
Helma	Hellma
Henik	Hennikk
Henrike	HenrIke
Humbert	Humbert
Ida	Ida
Idefix / Venia	Venia
Inja	Innja
Irmina	IrmIna
Ismar	Ismar
Ivera	IvEra
Jalina	JalIna
Jarmon	Jarrmon
Jean	Tschien
Jendra	Jenndra
Jendrik	Jenndrik
Jennifer	Jennifer
Jero	Jeero
Jerzy	Tschörsii
Jesko	Yesko
Jimmy	Tschimmi
Jola	Jola
Joris / Kapo	Kappo
Josi	Dschosi
Junali	JunAli
Jurek	Jurek
Juri	Juri
Kara	Kara
Karmi	Karrmi
Karotte	Karotte
Kati	Kati
Katsa	Kaddsa
Kellan	Kellen
Kendrick	Kenndrikk
Kerr	Kärr
Kessia	Kessia
Kilian	Killian
Kolina	Kollina
Kora	Kora
Lanzo	Lannzo
Larea	LarEa
Laric	Laric
Laudine	LaudIne
Laurin	Laurin
Leru / Lorthiz	Lortis
Levin	Levin
Leyna	Leyna
Liandra	LiAndra
Lindon	Linden
Lio	Lio
Lobo	Lobo
Locke	Lokke
Lore	Lore
Lothar	Lootar
Lukan	Luukan
Luten	Luten
MadWoman_Name	----
Mali	Maali
Manes	Maanes
Ahrend / Mareno	Aarend
Margitte	Margit
Marten	Martn
Melf	Melf
Meluna	MelUna
Merik	Merrik
Merlind	Merrlind
MiningChef	----
Minira	MinIra
Maeron / Miraculix	Märon
Miranda	Miranda
Mirron	Mirron
Mog	Mog
Molvina	MollvIna
Mombert	Mommbert
Monko	Monko
Morvin / Antonius Proximus	Antonius Proximus
Mottek	Mottekk
Muc	Mukk
Mumme	Mumme
Mursel	Mursl
Myrte	Mürte
Niala	NiAla
Oksana / Oxana	Oksana
Olaf	Olaf
Olga	Olga
Oppo / ? ? ?	----
Owain	Owein
Palina	PalIna
Pwyll	Piwill
Ratford	Rätford
Raya	Raja
Reija	Räija
Roarke	RoArke
Roisin	RoisIn
Ruhan	RuHan
RuinenlagerGuard	----
RuinenlagerGuardUpper	----
Rura	Ruura
Ruslan / Murtagh	Raslan
Sagar	Sagaar
Sean / Wache	Shawn
Senga	Senga
Shona	Schona
Sine	Sine
Slawa	SlAwa
Sorcha	Sortscha
Swenn	Swenn
Tadhg	Tadschg
Taron	Taaron
Teigen	Taigen
Tiaa	Tiaa
Tristan	Trisstan
Tuz	Tuss
Unknown / Leibwache vom Druiden im Ruinenlager	----
Wache	----
Willi	Willi
Wind	Wind
Zoltan	Solltan
